"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.101.1.46","224.0.0.251","MDNS","169","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR MacBook Pro de Brian._companion-link._tcp.local PTR MacBook Air de Dani._companion-link._tcp.local"
"2","0.000000000","fe80::10f9:d179:b707:4df2","ff02::fb","MDNS","189","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR MacBook Pro de Brian._companion-link._tcp.local PTR MacBook Air de Dani._companion-link._tcp.local"
"3","0.204423400","Intel_4d:3f:50","Broadcast","ARP","42","Who has 10.101.1.31? Tell 10.101.1.29"
"4","1.020678300","10.101.1.28","157.240.5.52","TLSv1.2","122","Application Data"
"5","1.062781900","157.240.5.52","10.101.1.28","TCP","60","443  >  59673 [ACK] Seq=1 Ack=69 Win=311 Len=0"
"6","1.112792900","157.240.5.52","10.101.1.28","TLSv1.2","124","Application Data"
"7","1.157521600","10.101.1.28","157.240.5.52","TCP","54","59673  >  443 [ACK] Seq=69 Ack=71 Win=253 Len=0"
"8","1.228017300","Intel_4d:3f:50","Broadcast","ARP","42","Who has 10.101.1.31? Tell 10.101.1.29"
"9","1.740716800","Routerboardc_4c:2c:2b","Broadcast","0x9003","64","Ethernet II"
"10","1.889507300","10.101.1.28","35.233.239.65","TCP","55","62204  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1"
"11","2.072193100","35.233.239.65","10.101.1.28","TCP","66","443  >  62204 [ACK] Seq=1 Ack=2 Win=511 Len=0 SLE=1 SRE=2"
"12","2.354546800","fe80::7a9a:18ff:fe4c:2c2b","ff02::1","MNDP","221","5678  >  5678 Len=159"
"13","2.354546800","10.101.0.1","255.255.255.255","MNDP","201","5678  >  5678 Len=159"
"14","2.456270400","10.101.1.23","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"15","2.639396100","10.101.1.28","157.240.5.11","TLSv1.2","83","Application Data"
"16","2.712288800","157.240.5.11","10.101.1.28","TLSv1.2","79","Application Data"
"17","2.763418700","10.101.1.28","157.240.5.11","TCP","54","55086  >  443 [ACK] Seq=30 Ack=26 Win=254 Len=0"
"18","3.419545400","10.101.1.28","157.240.5.12","TLSv1.2","86","Application Data"
"19","3.452325700","157.240.5.12","10.101.1.28","TCP","60","443  >  57616 [ACK] Seq=1 Ack=33 Win=304 Len=0"
"20","3.601860400","157.240.5.12","10.101.1.28","TLSv1.2","82","Application Data"
"21","3.653140600","10.101.1.28","157.240.5.12","TCP","54","57616  >  443 [ACK] Seq=33 Ack=29 Win=252 Len=0"
"22","5.426867800","10.101.1.23","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"23","5.960796800","10.101.1.28","142.251.150.119","UDP","71","64571  >  443 Len=29"
"24","6.021918400","142.251.150.119","10.101.1.28","UDP","66","443  >  64571 Len=24"
"25","6.662011500","10.101.1.34","224.0.0.251","MDNS","167","Standard query 0x002c PTR _googlecast._tcp.local, ""QM"" question PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question PTR _CC32E753._sub._googlecast._tcp.local, ""QM"" question"
"26","6.662011500","fe80::412:caff:fe55:72e5","ff02::fb","MDNS","187","Standard query 0x002c PTR _googlecast._tcp.local, ""QM"" question PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question PTR _CC32E753._sub._googlecast._tcp.local, ""QM"" question"
"27","6.662011500","Routerboardc_4c:2c:2b","Broadcast","0x9003","64","Ethernet II"
"28","7.630576500","10.101.1.28","157.240.5.11","TLSv1.2","83","Application Data"
"29","7.703326800","157.240.5.11","10.101.1.28","TLSv1.2","79","Application Data"
"30","7.752700900","10.101.1.28","157.240.5.11","TCP","54","58626  >  443 [ACK] Seq=30 Ack=26 Win=250 Len=0"
"31","8.499295300","10.101.1.23","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"32","8.626931700","10.101.1.28","157.240.5.12","TLSv1.2","86","Application Data"
"33","8.661733900","157.240.5.12","10.101.1.28","TCP","60","443  >  56601 [ACK] Seq=1 Ack=33 Win=294 Len=0"
"34","8.812276000","157.240.5.12","10.101.1.28","TLSv1.2","82","Application Data"
"35","8.859163700","10.101.1.28","157.240.5.12","TCP","54","56601  >  443 [ACK] Seq=33 Ack=29 Win=252 Len=0"
"36","9.212778500","157.240.5.11","10.101.1.28","TLSv1.2","817","[TCP Previous segment not captured] , Ignored Unknown Record"
"37","9.212778500","157.240.5.11","10.101.1.28","TCP","1446","[TCP Retransmission] 443  >  55086 [ACK] Seq=26 Ack=30 Win=587 Len=1392"
"38","9.212929400","10.101.1.28","157.240.5.11","TCP","66","[TCP Dup ACK 17#1] 55086  >  443 [ACK] Seq=30 Ack=26 Win=254 Len=0 SLE=1418 SRE=2181"
"39","9.213143800","10.101.1.28","157.240.5.11","TCP","54","55086  >  443 [ACK] Seq=30 Ack=2181 Win=255 Len=0"
"40","9.215243300","10.101.1.28","157.240.5.11","TLSv1.2","90","Application Data"
"41","9.291954000","157.240.5.11","10.101.1.28","TCP","60","443  >  55086 [ACK] Seq=2181 Ack=66 Win=587 Len=0"
"42","9.559178900","10.101.1.28","142.250.184.10","UDP","71","56329  >  443 Len=29"
"43","9.621950500","142.250.184.10","10.101.1.28","UDP","66","443  >  56329 Len=24"
"44","11.059011400","10.101.1.41","224.0.0.251","MDNS","81","Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QM"" question"
"45","11.059011400","fe80::dc:808c:8198:da3d","ff02::fb","MDNS","101","Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QM"" question"
"46","11.630094400","10.101.1.28","157.240.5.12","TLSv1.2","86","Application Data"
"47","11.672353500","Routerboardc_4c:2c:2b","Broadcast","0x9003","64","Ethernet II"
"48","11.672353500","157.240.5.12","10.101.1.28","TCP","60","443  >  50378 [ACK] Seq=1 Ack=33 Win=391 Len=0"
"49","11.812058200","157.240.5.12","10.101.1.28","TLSv1.2","82","Application Data"
"50","11.861530400","10.101.1.28","157.240.5.12","TCP","54","50378  >  443 [ACK] Seq=33 Ack=29 Win=253 Len=0"
"51","14.138798900","10.101.1.46","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"52","14.138798900","10.101.1.46","224.0.0.251","MDNS","100","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question"
"53","14.138798900","fe80::10f9:d179:b707:4df2","ff02::fb","MDNS","120","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question"
"54","14.540585500","10.101.1.46","224.0.0.251","MDNS","120","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR MacBook Air de Dani._companion-link._tcp.local"
"55","14.540585500","fe80::10f9:d179:b707:4df2","ff02::fb","MDNS","140","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR MacBook Air de Dani._companion-link._tcp.local"
"56","14.652287400","10.101.1.35","224.0.0.251","MDNS","424","Standard query response 0x0000 TXT PTR MacBook Pro de Brian._companion-link._tcp.local TXT, cache flush SRV, cache flush 0 0 49152 MacBook-Pro-de-Brian.local AAAA, cache flush fe80::10a3:64cc:eff7:4fcc A, cache flush 10.101.1.35 NSEC, cache flush MacBook Pro de Brian._companion-link._tcp.local NSEC, cache flush MacBook-Pro-de-Brian.local"
"57","14.652287400","fe80::10a3:64cc:eff7:4fcc","ff02::fb","MDNS","444","Standard query response 0x0000 TXT PTR MacBook Pro de Brian._companion-link._tcp.local TXT, cache flush SRV, cache flush 0 0 49152 MacBook-Pro-de-Brian.local AAAA, cache flush fe80::10a3:64cc:eff7:4fcc A, cache flush 10.101.1.35 NSEC, cache flush MacBook Pro de Brian._companion-link._tcp.local NSEC, cache flush MacBook-Pro-de-Brian.local"
"58","14.723975900","142.250.184.10","10.101.1.28","UDP","200","443  >  56329 Len=158"
"59","14.756447000","10.101.1.28","142.250.184.10","UDP","74","56329  >  443 Len=32"
